"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","CONSOLE-OUTPUT-AND-DEBUGGING---METTA-LANGUAGE3.02","","Tue Dec 24 10:01:32 GMT 2024","passed","Tue Dec 24 10:01:32 GMT 2024","","METTA-LANG","METTA-LANG",""
"","15","CONCRETE-TYPES---METTA-LANGUAGE10.02","","Tue Dec 24 10:01:32 GMT 2024","passed","Tue Dec 24 10:01:32 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","F1-IMPORTS.08","","Tue Dec 24 09:45:43 GMT 2024","passed","Tue Dec 24 09:45:43 GMT 2024","","MODULE-SYSTEM","MODULE-SYSTEM",""
"","3","F1-MODULEA.01","","Tue Dec 24 09:50:04 GMT 2024","passed","Tue Dec 24 09:50:04 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","3","WORKING-WITH-SPACES---METTA-LANGUAGE16.01","","Tue Dec 24 10:01:32 GMT 2024","passed","Tue Dec 24 10:01:32 GMT 2024","","METTA-LANG","METTA-LANG",""
"","1","XOR-TEST.11","","Tue Dec 24 09:52:48 GMT 2024","passed","Tue Dec 24 09:52:48 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","D4-TYPE-PROP.14","","Tue Dec 24 09:50:04 GMT 2024","passed","Tue Dec 24 09:50:04 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","F1-IMPORTS.09","","Tue Dec 24 09:45:43 GMT 2024","passed","Tue Dec 24 09:45:43 GMT 2024","","MODULE-SYSTEM","MODULE-SYSTEM",""
"","3","STATES-SPACES.01","","Tue Dec 24 09:58:21 GMT 2024","passed","Tue Dec 24 09:58:21 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","7000","metta-morph_tests.states_spaces","","Tue Dec 24 09:45:50 GMT 2024","passed","Tue Dec 24 09:45:57 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","3","B0-CHAINING-PRELIM.01","","Tue Dec 24 09:50:04 GMT 2024","passed","Tue Dec 24 09:50:04 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","28","G1-DOCS.04","","Tue Dec 24 09:50:04 GMT 2024","failed","Tue Dec 24 09:50:04 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","STATES-SPACES.06","","Tue Dec 24 09:58:21 GMT 2024","passed","Tue Dec 24 09:58:21 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","2","CONSOLE-OUTPUT-AND-DEBUGGING---METTA-LANGUAGE3.05","","Tue Dec 24 10:01:32 GMT 2024","passed","Tue Dec 24 10:01:32 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","CONTROL-FLOW---METTA-LANGUAGE12.01","","Tue Dec 24 10:01:32 GMT 2024","passed","Tue Dec 24 10:01:32 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","CONSOLE-OUTPUT-AND-DEBUGGING---METTA-LANGUAGE2.01","","Tue Dec 24 10:01:32 GMT 2024","passed","Tue Dec 24 10:01:32 GMT 2024","","METTA-LANG","METTA-LANG",""
"","4","TEST-IF-CLOSED.01","","Tue Dec 24 09:45:56 GMT 2024","passed","Tue Dec 24 09:45:56 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
